Name,Age,Push-Ups,Sit-Ups,2.4-Km-Run
Patrick Russell,25,69,45,1179
Stefanie Young,37,73,80,1094
Danielle Malone,32,27,17,518
Matthew Sanders,26,14,0,924
Christopher Brooks,57,11,17,1076
Veronica Wagner,27,79,61,1131
Carlos Reyes,35,53,21,738
Alexander Rowe,27,30,44,793
Elizabeth Perry,46,50,19,503
Jessica Baker,53,57,37,706
Andrea Murphy,33,60,18,567
Steven Hunt,22,61,15,829
Katherine Kerr,36,68,53,605
Sally Rowe,34,42,14,766
Eric Black MD,51,14,7,523
Jordan Fitzgerald,25,79,57,697
Cameron Smith,40,28,4,797
Kenneth Hawkins,55,50,67,1021
Dawn Gray,18,67,59,619
Gregory Garrett,38,7,74,1061
Mason Davis,20,49,18,1194
Anne Ortiz,50,54,44,946
Stacy Nelson,60,70,27,895
Catherine Hunt,53,67,5,688
Alicia Ward,27,27,4,947
Karen Frazier,28,80,54,1010
Aaron Mendoza,52,18,37,466
Wanda Miller,59,47,41,803
Dr. John Pearson,52,72,9,1000
Jeffrey Goodwin,52,61,30,1267
Evelyn Lopez,54,4,34,808
Cathy Hunter,27,17,15,487
Margaret Meyer,42,37,23,798
Christina Stout DDS,30,21,50,545
Jason Jones,34,72,72,529
Christine Hunter,41,57,43,1051
Stephen Stout,58,54,19,890
Carrie Frank,32,31,15,997
Stephen Olson,40,71,25,1262
Tiffany Chang,60,51,44,1006
Nathan Baker,50,26,14,687
Kristina Mcdowell,52,35,70,647
Robert Warner,37,36,68,837
Angela Hopkins,41,43,66,1090
John Monroe,18,33,80,732
Anthony King,32,69,13,695
Debbie Hansen,55,34,15,1075
Aaron Ross,46,67,77,1087
Kimberly Howard,47,10,44,713
Colin Roberts,48,15,56,1266
April Knox MD,57,37,69,970
Michael Townsend,30,25,19,680
Kristina Harvey,40,7,60,665
Donald Lin,40,52,72,871
Mary Wilson,42,19,9,1166
Dr. Sarah Costa,53,46,53,1153
Tara Bauer,32,35,59,1273
Angela Parker,59,28,37,783
Anthony Miller,57,24,55,785
Audrey Porter,52,48,61,990
Ashley Day,45,2,63,1139
Desiree Duncan,21,79,19,515
Cory Manning,58,10,62,663
Lisa King,23,36,30,1225
Gregory Welch,45,5,31,456
Austin Rowe,48,54,9,497
Nathan Harris,41,67,13,485
Erika Garcia,32,35,6,580
Jackie Morgan,40,16,24,789
Mark Brandt,53,55,50,971
Joseph Gray,57,22,78,500
Cindy Todd,24,8,61,784
Dylan Jenkins,41,64,45,1269
Dylan Booker,39,22,23,993
Roy Fleming,59,56,25,544
James Owens,34,46,47,1003
Angela Johnson,53,40,2,814
Matthew Wilson,23,74,47,1085
Kyle Stewart,51,20,56,707
Lisa Kim,59,72,24,586
Melanie Jimenez,33,29,33,1151
Eric Woodward,30,76,68,771
Jennifer Johnson,27,7,47,1230
Kimberly Ford,31,2,52,1173
Sophia Wall,48,26,40,843
Christine Weber,33,45,40,1052
Victoria Dixon,32,18,75,857
Ronald Cunningham,53,77,3,709
Brian Robbins,53,59,45,483
Matthew Walters,60,44,55,862
Samantha Walls,54,19,38,464
Charles Gates,24,27,4,813
Mrs. Emily Koch MD,57,80,70,990
Jeremy Jensen,45,27,24,533
Joanna Bell,42,24,79,1127
Michael Medina,35,51,67,1091
Jill Buckley,21,60,42,770
Scott Armstrong,48,68,77,676
Keith Johnson,54,46,70,722
Zachary Hall,23,45,15,460
Jamie Roberts,43,29,53,1218
Zachary Cross,26,78,54,926
Ryan Sanders,56,56,21,579
Caroline Scott,50,47,69,1184
Steven Flores,43,32,62,1212
Danny Ferguson,42,58,58,789
Stephanie Mcmahon,43,32,42,1256
Brandy Walker,43,24,28,1094
Kelly Powers,47,70,29,559
Dylan Wyatt,26,65,35,849
Chelsea Best,50,14,75,561
Stacey Schwartz,58,1,52,1299
Michael Palmer,23,20,4,1123
Shelby Robinson,45,3,53,1017
Joshua Lee,59,22,34,645
Anita White,43,51,49,580
Bailey Carter,25,20,57,620
Vanessa Williams,55,79,78,977
Timothy Mcneil,18,22,32,689
Brittany Graham,31,3,67,451
Jessica Warner,48,48,58,503
Shawn King,23,41,55,1290
Larry Watson,23,37,59,685
Dominique Russell,47,18,58,980
Chad Sutton,35,10,11,844
Melanie Stout,37,79,30,732
William Suarez,21,24,53,1117
Jessica Bell,19,24,2,832
Daniel Wood,56,74,31,635
Bruce Smith,31,62,16,757
James Moreno,26,23,33,646
Andrew King,29,58,6,727
Melanie Scott DVM,38,23,28,668
Kathleen Trevino,31,16,31,800
Ariel Bailey,57,28,71,587
Diamond Gonzalez DDS,35,57,4,455
Claudia Wallace,53,65,32,1293
Shawn Lopez,27,9,25,1230
Phillip Ross,28,71,14,903
Lisa Payne,46,27,67,535
Eric Sanchez,46,61,9,610
Hunter Mcintosh,53,33,2,845
Mr. Shawn Atkinson,26,6,52,558
Lisa Peterson,38,36,55,881
Christopher West,56,30,9,838
Jordan Ward,60,46,60,1083
Misty Cummings,41,35,61,545
Samantha Johnson,21,77,48,682
Erik Smith,38,69,80,1145
Gene Garcia,57,63,18,692
David Herring,46,60,56,659
Joseph Smith,27,73,76,702
Jeremy Elliott,46,0,69,1009
Jeffrey Mccoy,19,48,28,731
Michelle Brown,23,69,14,697
Jennifer Wright,42,53,71,817
Robert King,23,78,15,850
Allison Mccoy,57,80,54,539
Hannah Walters,28,66,53,771
Ruth Sexton,39,8,38,1197
Amanda Nelson,23,69,53,1285
Mandy Barnett,39,17,69,983
John Hatfield,59,13,9,938
Terry Nelson,52,19,15,1126
Joseph Bailey,22,40,54,967
Melanie James MD,31,47,15,587
Katie Hill,47,65,8,1059
Jamie Cook,21,39,76,1030
Tyler Torres,48,75,60,1229
Samuel Moore,35,44,22,1022
Jessica Proctor,44,56,18,1168
Dale Herring,28,11,13,1229
Nathan Villegas,45,64,55,1115
Shane Perry,37,57,57,1251
Rebekah Gibson,45,20,25,710
Kelly Campbell,47,40,78,926
Amy Herrera,58,12,55,465
Stacey Mccoy,27,13,62,1109
Susan Guzman,36,66,56,871
Raymond Weber,52,51,1,729
Rhonda Fields,27,3,22,465
Christian Smith,30,79,32,1205
Michael Hunter,19,20,68,526
Brian Garcia,57,67,71,582
Tiffany Baker,28,56,62,911
Cody Mendoza,32,74,63,957
Sean Sullivan II,38,56,13,819
Seth Harrison,28,26,62,1281
Kevin Chaney,29,75,1,1069
Valerie Carr,40,58,52,776
Valerie Keller,51,42,29,566
Natasha Hodges,56,33,73,691
Frederick Jones,58,49,17,519
Tim Stewart,56,68,51,1267
David Ruiz,30,47,66,544
Cindy Delgado,55,27,56,1149
Peter Herrera,60,62,40,925
Jacqueline Paul,44,76,49,466
Joseph Salas,35,43,18,1019
Michael Webb,52,78,51,1188
Chris Pennington,25,73,76,971
Nicholas Cunningham,39,3,20,767
Jennifer Buck,45,8,62,753
Richard Hansen,45,60,17,1048
Andrew Stephens,18,3,5,1137
David Wilson,22,8,1,618
Shawn Thornton,52,64,22,510
Jerome English,53,76,66,1091
Edward Davis,43,80,18,1127
Taylor Snow,33,12,60,1084
Zachary Peck,53,34,9,714
Ralph Young,60,52,13,567
Lori Lee,20,67,66,1245
Traci Nguyen,32,49,52,1242
Sean Jackson,47,13,32,451
Elizabeth Harris,29,41,34,615
Christina Rogers,51,1,56,1155
Richard Jones,31,69,23,965
Doris Wolfe,33,76,11,832
Diane Mason,54,16,71,900
Meagan Ford,48,52,26,915
Krista Ross,27,39,20,1129
Sophia Butler,25,55,39,1062
Hunter Smith,36,61,58,450
Jo Andersen,33,68,59,586
Christine Phillips,40,42,54,1201
Kristi Moore,50,31,47,587
Dr. Susan Ray,22,31,22,995
Cody Santos,34,53,79,1299
Joseph Strickland,45,41,18,642
Martha Brady,19,64,78,570
Gary Robinson,24,44,49,1048
Kimberly Brown,53,60,7,1083
Kyle Church,35,1,48,470
Brian Watts,58,56,69,1242
Mark Mcclure,51,61,39,951
Lauren Evans,19,25,63,460
Michelle Thomas,25,46,3,1289
Charles Williams,31,26,49,1029
Stacy Manning,24,13,74,1204
Cheryl Green MD,58,77,13,879
Caitlin Riley,53,4,12,1289
Amber Miller,53,19,80,847
Gary Grant,59,3,21,505
Adam Avila,50,72,21,880
Matthew Jordan,37,33,65,543
Jessica Murray,28,59,25,665
Michael Young,51,20,66,1100
Selena Hicks,56,40,53,534
Kelly Baker,38,47,11,1148
Ariel Hudson,41,53,13,638
John Norton,20,48,2,1048
Linda Hanson,27,32,79,910
Douglas Fox,25,48,67,556
Andrew Dunn,34,19,76,1224
Veronica Galvan,60,68,76,902
Randy Schmidt,44,43,69,1110
Kristin Hernandez,31,5,59,865
Bobby Weiss,56,36,0,481
Michael Miller,52,53,34,645
Jordan Cervantes,49,48,26,714
Bruce Brown,49,47,21,841
Christine Ford,58,42,35,594
Teresa Hammond,60,66,66,1203
Christopher Harris,23,49,62,1195
Beth Thomas,42,40,54,623
Daniel Mcdaniel,27,65,61,863
Brianna Flores,24,2,65,525
Aaron Sandoval,59,25,58,1013
Denise Pearson,36,45,12,938
Christopher Wilson,42,65,30,791
Claudia Pacheco,59,29,36,880
John Robinson,58,17,37,1159
Renee Watson,40,54,36,785
Kristina Mckee,18,50,28,743
Kimberly Webb,18,1,60,980
Alyssa Rivera,41,18,68,502
Daniel May,47,0,52,924
Amy Martin,28,25,51,894
Jennifer Kennedy,19,74,68,572
Sarah Ferguson,39,75,72,801
Brenda Davis MD,19,16,49,604
Diane Esparza,32,0,49,1286
Heather Vasquez,33,0,61,1220
Teresa Hess,19,26,5,1070
Justin Hall,48,38,75,753
Alexandra Day,25,58,38,510
Erica Villarreal,20,61,16,812
Michele Anderson,55,64,29,1154
Lisa Johnson,27,62,11,1266
Mitchell Lewis,31,8,42,750
Samantha Grimes,21,64,4,452
Diane Valdez,23,77,10,1158
Jonathan Morse,29,10,36,934
Gary Williams,45,29,3,595
Mr. Robert Wright,34,79,54,1164
Lauren Ayala,27,45,35,1271
Sarah Carr,53,76,43,1233
Andrea Owen,56,27,34,1231
Wendy Brooks,21,14,76,743
Tonya Thompson,59,0,23,1267
Jessica Powell MD,21,20,44,936
Kirk Ramirez,36,72,72,525
Rachel Adams,34,23,71,998
Fernando Carpenter,57,25,77,1246
Jason Wood,49,48,44,904
Melanie Marshall,19,31,9,605
Tammie Olson,25,1,13,934
Lisa Brown,19,34,42,1133
Curtis Parker,21,22,5,762
Kimberly Roberts MD,28,11,58,1057
Cathy Gross,57,47,48,902
Monica Key,40,60,13,1210
Kristi Brooks,52,29,47,879
Richard Greene,59,50,78,1226
Howard Hale,59,77,59,549
Michael Cox,48,59,65,1180
David Sims,57,50,75,796
Jamie Sullivan,37,77,0,525
Stephanie Johnson,26,5,29,583
William Arellano,38,10,56,1079
Pamela Allen,20,35,61,758
Cynthia Juarez,57,72,21,799
Bryan Cline,32,45,17,673
Leah Willis,40,29,8,1066
Jon Hill,49,18,72,547
Michelle Bryant,35,15,28,789
Stephen Vargas,43,2,74,1142
Amy Rowe,27,7,48,1284
Jose Mitchell,38,8,46,756
Adrian Vang DVM,39,48,74,1041
Jason Richardson,60,32,1,847
Robert Fitzgerald,35,72,10,637
Holly Goodwin,39,14,27,461
Tammy Wiley,29,44,32,1234
Nicholas Richardson,18,18,69,1074
Dustin Gonzales,38,79,29,750
Jordan Jackson,56,41,15,454
Benjamin Williams,50,12,32,768
Douglas Sparks,31,65,59,692
Morgan Lawrence,49,22,40,752
Cynthia Briggs,38,49,19,1035
James Garrison,50,4,41,638
Justin Thompson,44,63,14,1184
Annette Martinez,31,57,16,885
Dana Davidson,29,71,24,1218
Sabrina Thomas,46,67,54,559
Michael Thomas,38,21,39,634
James Reid,27,40,69,1085
Donna Austin,21,56,40,486
Jenna Harris,27,6,41,954
Shari Rios,26,71,23,597
Annette Mcguire,24,14,36,815
Joshua Ferguson,52,28,72,583
Annette Wolf,39,72,48,1178
Stephanie Mckinney,32,5,58,1094
Jason Mcdonald,45,27,74,1013
Gavin Knight,37,51,62,828
Tammy Marquez,46,74,41,749
Justin Evans,55,78,59,911
Kristi Johnson,42,25,62,662
Roger Silva,37,46,62,768
Monica Thomas,41,64,2,475
Tara Soto,46,11,66,1183
Adrienne Johnson,22,75,8,574
Joseph Lewis,48,65,34,535
Amy Figueroa,45,63,8,581
Jane Campbell,43,5,15,452
William Hoffman,47,80,43,596
Melissa Schmidt,35,12,67,957
John Rhodes,45,65,22,488
Shane Allen,18,72,51,675
Michael Smith,28,56,26,1230
Tanya Giles,56,64,63,782
Tanya Hodge,50,48,50,1259
Holly Foster,42,71,54,1021
Amber Gates,26,68,64,685
Kimberly Strickland,31,78,21,1054
Catherine Francis,36,27,46,1111
Mrs. Debra Santiago,48,4,46,625
Derrick Williams,54,77,67,740
Alexandra Campbell,35,46,6,532
Justin Lewis,32,21,49,480
James Martin,21,5,79,993
Matthew Peters,31,25,45,451
Ronald Nelson,45,35,10,488
Erica Simon,42,27,14,623
Chelsea Morgan,29,76,77,721
Ronald Holmes,50,12,76,1267
Jordan Torres,22,30,6,525
Steve Cardenas,20,7,38,886
Anthony Kent,58,36,28,630
Charles Crane,31,48,64,521
Greg Lee,31,74,76,724
Henry Thompson,48,2,63,1173
Anthony Murray,40,24,32,751
Janet Ward,46,35,36,729
Bryan Meyers,30,56,40,820
Tammy Turner PhD,27,13,32,831
Jose Wright,31,72,67,1299
Andrew Bradley,59,5,6,476
Alice Mercado,59,74,50,957
Michael Ayala,44,60,75,1216
Roger Garcia,40,7,12,673
Bradley Parker,23,34,28,579
Vincent Riley,31,73,1,635
Julie Sharp,38,73,75,761
Rebecca Juarez,31,59,47,519
Alexis Henry,42,46,46,1049
Madison Henry,51,73,3,555
Corey Martinez,57,4,66,1048
Richard Cortez,18,52,63,1013
Rick Mason,30,33,3,1117
Brandon Escobar,50,17,31,1176
Matthew Miller,50,76,56,699
Rachel Roberson,25,43,73,993
Andrea Mckenzie,34,63,18,824
Angela Gray,45,67,33,1185
Samantha Ortiz,24,7,7,770
Jacob Stokes,31,11,38,577
Virginia Graham,43,17,78,930
Elizabeth Mccarty,50,3,60,1171
Reginald Oneill,27,74,57,528
Tamara Adams,50,43,69,1001
Bonnie Stein,43,24,47,559
Gary Thompson,53,8,41,532
Mitchell Williams,29,65,30,867
Danny Boyd,40,71,16,1113
Randall Gardner,58,55,49,710
Raymond Ward,58,69,8,1173
William Davis,46,19,3,827
Virginia Miller,55,35,32,906
David Diaz,54,47,73,1095
Frank Pierce,49,4,20,480
Jessica Cox,47,27,61,753
Jaime Adams,18,7,50,865
Kathy Larson,58,42,62,664
Michael Santana,23,75,61,668
Angel Mckinney,53,37,51,1237
Brandon Williams,19,14,52,1014
Dr. Patricia Erickson,52,12,64,522
Bridget Norman,52,13,77,891
Vanessa Chaney,44,45,27,572
Travis Hutchinson,30,28,47,519
Susan Stokes,18,17,75,1186
Justin Estrada,25,53,30,1215
Shirley Williams,38,28,37,1140
Emma Hernandez,45,63,6,844
Diane Oneal,57,39,21,1203
Luke Kim,60,34,37,1114
Ronald Sullivan,58,11,45,733
Natalie Perkins,22,44,25,1215
Taylor Moses,35,17,64,1061
Dale Scott,50,62,58,1100
Joel Lowe,46,78,66,1137
Denise Spencer DDS,59,46,21,1175
Mr. Gary Fowler,57,43,23,1143
Dennis Porter,45,23,3,801
Pamela Perry,40,21,26,711
Jennifer Miles,58,18,56,759
Robert Sullivan,18,38,22,616
Sherry Miller,19,71,10,863
Marie Williams,45,53,57,1122
Mrs. Alisha Sullivan,20,17,57,1157
Amanda Dennis,28,8,0,673
Jeremy Lane,32,77,10,807
Kevin Brown,57,78,7,489
Robert Davis,57,56,39,1291
Dr. Anita Carey,41,58,70,1293
George Thompson,39,44,58,555
Leah Anderson,23,73,66,893
John Cox,59,11,32,909
James Hancock,53,67,36,491
Rodney Carlson,33,74,10,1296
Denise Lane,50,63,5,722
Patricia Parker,21,73,56,752
Richard Velez,41,69,76,1006
Zachary Walton,33,47,58,965
Connor Le,51,34,31,1115
Meghan Weber,33,15,16,675
Shawn Gardner,30,23,27,537
Sherry Brown,26,58,19,1277
Chelsey Garcia,49,73,13,693
Manuel Frost,57,63,70,620
William Miller,48,17,8,813
Lisa Scott,20,33,45,473
Brian Ortiz,49,16,38,915
Jason Hensley,46,62,64,1141
Christopher Webster,47,33,46,1055
Linda Castillo,37,33,0,710
Kathleen Cruz,47,17,54,524
Andrew Schneider,28,73,5,1218
Donna Mann,39,1,66,717
Ann Mitchell,60,8,26,626
Brittney Rosario DVM,21,61,59,1093
Maria Abbott,41,21,65,524
Rodney Savage,44,70,17,885
Heidi Nelson,60,49,37,1025
Linda Wheeler,58,0,7,569
Bradley Wolfe,31,64,1,488
David Keith,39,42,1,612
Mary Sanchez,42,56,27,854
Jade Dorsey,31,0,49,623
Erin Snyder,25,13,30,744
Richard Brown,19,0,2,1090
Cassandra Perez,28,75,49,686
Connie Martinez,59,59,54,876
Don Baker,57,56,77,828
Barbara Benson,57,57,33,1188
Ashley Wheeler,55,48,20,773
Anna Gilbert,20,9,16,942
Patrick Norton,41,47,17,964
Linda King,56,68,7,612
Tara Madden,58,24,56,853
Mackenzie Robinson,41,8,73,816
Joseph Burns,25,78,80,483
Parker Rivas,38,14,75,511
Angela Garcia,31,73,26,1067
Michael Lewis,44,32,53,975
Jessica Reid,31,78,31,1176
Jennifer Carter,30,70,45,1182
Joe Stewart,25,23,18,710
Patrick Tyler,48,36,29,891
David Page,42,44,43,697
Tammy Long,31,73,76,1103
Anthony Holloway,53,41,27,979
Ashley Gutierrez,50,8,75,964
Larry Cruz,35,75,49,631
Karen King,28,14,32,1207
Stephanie Barajas,35,78,35,900
Peter Daugherty,26,64,2,1151
Danielle Sloan,39,72,57,1293
Marco Nichols,52,51,9,792
Nathan Welch,50,15,45,659
Sabrina Brown,55,15,21,729
Kelly Vaughn,35,45,25,813
Christina Hernandez,44,43,25,1166
David Ball,24,17,36,499
Michael Castillo,42,74,26,572
James Smith,23,37,51,1170
Elizabeth Lloyd,60,32,0,1059
Diana Perez,38,38,9,1058
Robert Mclaughlin,60,11,45,1203
Angel Weber,23,11,74,561
Joan Lewis,45,15,24,817
Cheryl Wells,43,43,76,774
Amanda Freeman,46,50,80,1221
Rachel Jackson,31,74,6,787
Andrew Johnson,40,77,56,1071
Richard Smith,44,14,20,589
Gwendolyn Walker,31,42,60,457
Ashley Collins,28,53,31,814
Jesse Crawford,42,16,23,491
Justin Miller,24,80,7,1259
James Saunders,47,64,26,792
Elizabeth Jones,58,15,22,483
Sandra Liu,39,46,58,864
Gabrielle Haynes,18,46,34,546
Kyle Murillo,47,38,59,1133
Lauren Meadows,55,48,39,1244
Eddie Aguilar,43,34,77,1054
Ryan Mcdaniel,56,44,26,1288
Sophia Hall,36,53,56,1042
Amy Rowe,43,29,59,919
Christopher Ellison,52,4,67,530
Nicole Martinez,54,51,71,1116
Shelly Prince,49,80,37,484
Christopher Randall,42,79,0,1287
Johnny Burgess,28,63,71,562
Tanya Johnson,59,4,44,1041
William Kelly,56,17,10,635
Lindsey Murray,42,16,59,733
Jessica Hill,25,67,71,736
Rachel Hartman,35,14,10,1191
William Smith,33,69,39,773
James Roberts,24,8,23,582
Daniel Ware,36,75,23,1151
Gabriella Arnold,44,35,57,641
Jennifer Mathews,59,71,80,537
Michael Buckley,48,28,79,463
Steven Elliott,24,40,28,920
Jose Gardner,45,55,10,804
Zachary Jackson,38,15,15,751
Sandra Chavez,37,17,77,1085
Alexandra Robertson,32,10,58,548
Rebecca Murphy,41,20,64,1216
Hannah Nguyen,46,10,5,730
Allen Morgan,28,39,72,567
Marie Walker,42,12,58,653
Jeremy Herrera,30,55,38,499
Lucas Guzman,47,53,56,1058
Willie Murillo,40,10,24,958
Rodney Graham,37,19,52,1223
Tyler Martinez,18,12,61,779
Corey Reed,35,9,35,1023
Justin Cantrell,42,52,55,815
Misty Clark,44,39,11,700
Charles Ingram,48,29,79,1075
Christine Ray,41,27,21,695
Dawn Jenkins,40,52,60,1168
Samantha Weeks,28,42,15,672
Christine Owens,25,32,41,846
Christopher Mercer,21,30,7,1027
Jaime Lawson,23,75,48,670
Shannon Henry MD,56,9,63,905
Sara Franklin,36,54,11,604
Larry Murphy,39,41,34,627
Susan Wheeler,23,49,77,1058
Parker House,26,62,80,1000
Tim Davis,37,16,9,622
Kerry Trujillo,60,80,69,715
Anthony Castro,26,65,9,747
Ashley Reed,44,32,69,715
Jaime Bartlett,38,79,75,1136
Sarah Hill,46,68,29,769
Mr. Adrian Lee,35,20,4,914
Jonathan Allison,54,12,76,644
Michael Blair,50,32,21,988
Katie White,43,51,45,654
Thomas Rose,23,68,47,898
Christopher Velez,37,25,25,1056
Ryan Scott,20,28,52,576
Joe Martin,50,71,5,567
Wesley Castaneda,23,28,50,628
Christopher Buchanan,26,26,25,1054
Andrea David,18,77,59,667
Benjamin Macdonald,30,36,69,573
Valerie Green,59,16,66,879
Meghan Miller,44,73,44,518
Molly Marks,54,60,3,496
Jimmy Ware,48,33,51,1070
Nicholas Jackson,36,43,49,1142
Suzanne David,23,78,52,1204
Brian Humphrey,27,55,69,1145
Jeff Boyd,31,71,18,823
Jessica Wade,20,57,55,761
Glenn Reed,27,68,2,1152
Jacob Summers,45,74,63,1016
Lauren Novak,55,17,20,724
Matthew Ramirez,47,17,0,499
Roger Smith,26,48,76,730
Tom Casey,41,33,76,616
Marcia Bowman,48,54,34,1186
Austin Weaver,35,16,26,1298
Wendy Brown,34,70,50,782
Joseph Johnson,24,45,12,999
Anthony Jones,21,42,74,820
Jessica Rowland,20,80,16,964
Mr. Curtis Cook II,28,45,45,1052
Dana Simmons,35,56,15,1082
Vanessa Davis,58,20,52,638
Linda Benitez,40,10,17,862
Martin Brown,37,52,56,466
Corey Fowler,58,49,6,971
Robert Joseph,58,4,16,948
Kevin Rogers,34,49,6,493
James Jackson,52,74,1,1074
Shelley Brown,22,67,80,1248
Mrs. Laura Myers MD,52,19,53,551
Shawn Davis,33,33,35,1002
Miranda Day,20,27,10,1127
Mrs. Tara Stewart,40,65,19,972
John Mahoney,46,75,58,967
Corey Mcdowell,24,43,44,975
Brooke Maldonado,32,44,43,927
Nancy Randall,53,47,34,493
William Rogers,49,8,41,1196
Jennifer Gallegos,44,67,70,1106
Alexander Young,48,65,65,1215
Mrs. Sherry Torres,28,49,56,698
Joe Edwards,28,1,29,1065
Jeffrey Flynn,45,35,59,666
Cheryl Mitchell,28,14,19,947
Mario Jarvis,45,80,73,754
Mary Love,36,34,68,1277
Richard Allen DDS,23,65,28,682
Jordan Howard,49,48,35,749
Karen Ross,57,1,53,1258
Jay Phillips,29,11,47,1275
Ryan Rojas,29,34,48,1096
David Calderon,47,35,79,672
David Murphy,33,27,46,1032
Sandra Hunt,55,55,8,1246
Michael Tucker,35,51,64,1149
Christopher Campbell,35,64,22,1257
Joseph Campos,37,79,66,816
Rachel Jones,35,34,68,1160
Joshua Chambers,56,6,2,1098
Joel Levy,38,78,74,842
Alejandro Carlson,36,54,52,1151
Christina Stephens,39,0,72,939
Andrew Coleman,21,62,76,943
Rachel Davis,49,39,3,938
Amy Becker,43,17,71,873
Donald Love IV,38,46,10,530
Jennifer Moody,54,22,22,708
Amy Klein,27,40,36,817
Rodney Wright,33,24,76,1157
John Robertson,53,20,73,545
Jacqueline Elliott,45,40,71,888
Hannah Sanchez,19,19,71,946
Jodi Hernandez,54,45,60,866
Daniel Hernandez,57,28,17,1172
Martin Fitzgerald,45,12,9,685
Robin Stone,18,61,54,787
Haley Larson,56,23,56,1295
Sara Montgomery,47,73,23,1047
Jamie Carey,33,75,73,730
Kimberly Thomas,23,31,46,473
Tammy Pena,39,48,0,665
Darryl Wilson,51,48,32,1215
Jodi Brown,60,45,32,1282
Amanda Martin,20,74,22,793
Darlene Walsh,42,65,73,1124
Jeffery Gordon,54,38,46,818
Jonathan Yates,27,75,43,1228
Jennifer Williams,56,30,72,558
Pam Brown,18,54,10,669
Shari Ortega,57,75,33,1270
Alexis Nichols,58,80,37,1146
Julie Brown,43,70,25,1165
Aaron Andrade,32,3,62,962
James Rodriguez,30,36,43,1005
Maria Torres,30,25,80,765
Joseph Mendoza,60,41,48,1129
David Brown,48,31,77,450
Angela Gallegos DDS,26,58,77,494
Susan Myers,36,43,76,841
Dawn Martin,35,23,20,452
Steven Jackson,26,46,5,736
James Hall,37,80,48,1082
Rebecca Tate,43,10,20,581
William Gill,56,18,77,620
Leon Murray,47,61,38,995
Thomas Parker,37,28,4,713
Nicole Turner,29,69,35,819
Elizabeth Scott,25,30,29,1112
Timothy Jacobs,38,78,72,862
Amber Hayden,45,44,65,1038
Ms. Melinda Torres,47,56,22,720
Jacqueline Carter,19,40,76,768
Sydney Collins,26,29,63,592
Mary Jones,41,53,60,813
Breanna Moore,42,76,75,688
Donald Payne,57,77,44,642
Sarah Ramos,35,63,6,1069
Jonathan Shannon,21,63,15,704
Melissa Mason,18,25,17,784
Paul Willis,35,70,27,1152
Allison Williams,30,39,56,730
Luis Burns,38,19,25,515
Michael Bates,46,6,48,839
Michael Ayala,47,27,79,742
Tracy Bridges,58,5,29,1279
Alejandra Garrison,36,32,77,1240
Scott Wells,54,11,62,474
Joseph Richardson,57,12,80,545
Mrs. Katie Braun,55,48,4,1217
Ryan Murphy,28,35,6,965
Beverly Gutierrez,34,27,11,511
Nicole Martinez,39,48,53,1049
Richard Davis,53,4,41,764
Kristine Walker,49,70,35,1192
Michael Hernandez,57,77,6,1062
Emily Taylor,58,52,15,1158
Christina Moore,40,52,39,741
Danielle White,49,61,40,1153
Anthony Silva,49,23,26,920
Jasmine Burgess,19,35,11,615
Alejandra Thomas,38,54,9,867
Sean Carroll,45,70,76,932
Michele Garcia,27,76,23,521
Rebecca Davis,27,53,52,1204
Jennifer Robinson,25,53,66,617
Jose Mitchell,47,50,45,873
Tiffany Wright,27,37,9,751
Kim Garcia,45,44,41,781
Emily Mcfarland,52,21,59,696
Eric Beck,49,35,42,1207
Scott Stanley,49,32,48,1217
Christopher Davidson,24,40,40,1097
Timothy Sampson,25,12,58,1067
Crystal Mcknight,59,11,51,781
Lorraine Cunningham,35,61,3,1075
Nathan Allen,25,26,3,1095
Jeffrey Harris,20,34,78,645
Monica Kim,57,29,25,1236
Nicholas Moreno,44,71,39,1238
Sergio Lopez,38,65,79,699
Eric Hernandez,51,60,63,1003
Jaime Reyes,57,6,11,724
Mary Hampton,28,72,1,1022
Kelly Burgess,22,64,46,733
Phillip Manning,25,69,21,738
Stephanie Young,18,26,9,587
Chad Bell,37,77,19,934
Rebecca Smith,48,60,58,698
Bonnie Bell,47,72,26,1052
Jeffrey Oliver,53,4,21,536
Mr. Christopher Kirk,53,72,7,1071
Brooke Blackburn,21,15,36,766
Kaitlyn Park,24,48,29,741
Michael Romero,41,59,6,797
Rebecca Stephens,46,48,3,1176
Stephanie May,23,26,45,637
Brandon Moreno,36,13,2,695
Sierra Hebert,27,67,8,963
James Cole,33,59,80,477
Jamie Price,39,59,17,1254
Patrick Hall,21,75,69,687
Casey Johnson,30,20,13,672
Jeffrey Fields,25,22,58,684
Melissa Diaz,27,42,74,529
Steven Bauer,47,68,78,1246
Robert Kline,32,63,2,820
Curtis Lewis,31,59,9,946
John Reed,35,58,71,509
Zachary Hawkins DVM,59,41,0,1258
Troy Smith,44,23,69,736
Cindy Alvarez,35,43,70,986
Christian Miller,30,21,38,807
Kristen Evans,56,73,1,934
Jesse Merritt,25,39,10,840
Jose Bright,26,46,25,1109
Jimmy Wood,27,25,24,843
William Smith,59,69,59,464
Steven Pearson,50,27,25,768
Angela Jones,20,39,71,1267
Courtney Jones,18,16,5,883
Elizabeth Palmer,38,41,68,1153
Brandy Olsen,37,79,75,1212
Jared Bowman,45,68,78,1081
Kelly Meyers,57,27,74,875
